species,accession,is_focal,spx_bitscore,mgsr_bitscore,spx_score_per_aa,mgsr_score_per_aa,true_spx,method
L. rhamnosus,GCF_000743075.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_000801045.1,False,117.0,45.1,0.8731343283582089,0.3822033898305085,1,provisional normalized competitive hit
L. rhamnosus,GCF_000814485.1,False,117.0,43.9,0.8731343283582089,0.3720338983050847,1,provisional normalized competitive hit
L. rhamnosus,GCF_000932035.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_001005625.1,False,114.0,45.8,0.8507462686567164,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001044025.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001044415.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001062885.1,False,117.0,45.1,0.8731343283582089,0.3822033898305085,1,provisional normalized competitive hit
L. rhamnosus,GCF_001062955.1,False,117.0,45.1,0.8731343283582089,0.3822033898305085,1,provisional normalized competitive hit
L. rhamnosus,GCF_001063655.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001064515.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001064785.1,False,117.0,45.1,0.8731343283582089,0.3822033898305085,1,provisional normalized competitive hit
L. rhamnosus,GCF_001065365.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001066715.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001066975.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_001067025.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_001067215.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001067335.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001067625.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_001067885.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001068015.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_001068045.1,False,117.0,42.4,0.8731343283582089,0.3593220338983051,1,provisional normalized competitive hit
L. rhamnosus,GCF_001068195.1,False,117.0,42.4,0.8731343283582089,0.3593220338983051,1,provisional normalized competitive hit
L. rhamnosus,GCF_001068215.1,False,117.0,46.6,0.8731343283582089,0.3949152542372881,1,provisional normalized competitive hit
L. rhamnosus,GCF_001368735.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001590655.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001645615.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001656535.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_001656545.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,GCF_900636965.1,False,117.0,45.8,0.8731343283582089,0.38813559322033897,1,provisional normalized competitive hit
L. rhamnosus,Vahe,True,104.0,45.1,0.7761194029850746,0.3822033898305085,1,provisional normalized competitive hit
L. delbrueckii,GCF_000056065.1,False,118.0,244.0,0.8805970149253731,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_002847905.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_003545935.1,False,120.0,241.0,0.8955223880597015,2.042372881355932,0,provisional normalized competitive hit
L. delbrueckii,GCF_004211505.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_004211735.1,False,120.0,243.0,0.8955223880597015,2.059322033898305,0,provisional normalized competitive hit
L. delbrueckii,GCF_009362855.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_009734125.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
L. delbrueckii,GCF_014830125.1,False,120.0,246.0,0.8955223880597015,2.0847457627118646,0,provisional normalized competitive hit
L. delbrueckii,GCF_015377785.1,False,120.0,244.0,0.8955223880597015,2.0677966101694913,0,provisional normalized competitive hit
